ell,DlTT,DlTT_c,ratio
25,747.4469711246988,785.2864740378868,1.0506250000000001
75,2656.479883478238,2790.964177579324,1.050625
125,3439.037377303077,3613.138644529046,1.0506250000000001
175,5120.204939397112,5379.415314454093,1.0506250000000006
225,5937.454567737174,6238.038205228869,1.050625
275,5114.657931835219,5373.5874896343785,1.0506250000000004
325,3793.3316706539695,3985.3690864808273,1.0506250000000001
375,2384.150616996319,2504.8482419817574,1.050625
425,1967.5767785321734,2067.1853529453647,1.050625
475,2286.3138444607052,2402.0584828365295,1.0506250000000004
525,3046.195097768812,3200.4087245933583,1.0506250000000001
575,2949.4329429128047,3098.747985647766,1.0506250000000001
625,2159.338359674266,2268.6548641327763,1.0506250000000004
675,2087.5115395406965,2193.1918112299445,1.0506250000000001
725,2074.6954851695396,2179.7269441062476,1.0506250000000001
775,2612.455054978969,2744.7105921372804,1.0506250000000004
825,2768.214875841702,2908.3557539311882,1.0506250000000001
875,2083.6492464024377,2189.1339895015612,1.0506250000000001
925,1650.9984920983516,1734.5802907608302,1.0506249999999997
975,1306.6985881220335,1372.850204145712,1.0506250000000006
1025,1258.4268768922195,1322.1347375348885,1.0506250000000004
1075,1262.545258989636,1326.4616127259862,1.050625
1125,1262.058501016099,1325.9502126300392,1.0506250000000001
1175,1343.098861998283,1411.0932418869456,1.0506249999999997
1225,1052.8813372332775,1106.1834549307116,1.0506249999999995
1275,736.0578816619499,773.320811921086,1.050625
1325,801.4866489024197,842.0619105031047,1.0506250000000001
1375,798.1642123145559,838.5712755629803,1.050625
1425,855.8203543864136,899.1462598272259,1.0506250000000001
1475,812.0887008254882,853.2006913047786,1.0506250000000001
1525,621.0351479899579,652.4750523569496,1.0506250000000001
1575,397.9847290643876,418.1327059732721,1.0506249999999997
1625,338.10307293651437,355.2195410039254,1.0506250000000001
1675,353.4358283737484,371.32851718516935,1.050625
1725,388.0776346878869,407.72406494396125,1.0506250000000001
1775,389.040129143728,408.7352856816293,1.0506250000000001
1825,331.83038413099933,348.62929732763126,1.0506250000000004
1875,272.65809098437705,286.46140684046117,1.0506250000000001
1925,236.35070425367326,248.3159586565155,1.0506250000000001
1975,259.2846416603607,272.4109266444165,1.0506250000000001
2025,249.21327603488143,261.82969813414735,1.0506250000000001
2075,238.8066996754525,250.89628884652225,1.050625
2125,196.82331118667392,206.78749131549932,1.0506250000000001
2175,167.74024713121221,176.2320971422298,1.050625
2225,122.24131356657645,128.42978006588442,1.0506250000000004
2275,95.79830733405758,100.64809664284428,1.0506250000000004
2325,98.68479539002105,103.68071315664089,1.0506250000000001
2375,109.16790556663645,114.6945307859474,1.050625
2425,102.16458318564034,107.33666520941338,1.050625
2475,75.508205129083,79.33080801374285,1.0506250000000004
2525,65.3733480096493,68.68287375263779,1.050625
2575,58.23265165840169,61.18067964860829,1.0506250000000001
2625,60.930562499465445,64.01517222600087,1.0506249999999997
2675,61.74548231945322,64.87134736187555,1.0506250000000001
2725,51.679482248370135,54.295756037193875,1.0506250000000001
2775,43.84954872762178,46.069432131957626,1.050625
2825,35.440635730356,37.23481791420527,1.050625
2875,29.741623141411104,31.247292812945055,1.0506250000000004
2925,25.079689619485354,26.349348906471803,1.0506250000000001
2975,26.44907181870948,27.788056079531646,1.050625
3025,23.719433155065566,24.920229458540764,1.0506250000000001
3075,21.61643261950513,22.710764520867578,1.0506250000000001
3125,20.44443019045981,21.47942946885184,1.0506250000000001
3175,15.461525677248536,16.244265414659246,1.0506250000000001
3225,14.307212237440273,15.031514856960689,1.0506250000000001
3275,13.271957610670727,13.943850464710938,1.0506250000000004
3325,12.811754381933595,13.460349447518988,1.0506250000000004
3375,10.718949870414276,11.261596707604003,1.0506250000000004
3425,9.226870162884278,9.693980464880303,1.0506250000000008
3475,7.77456864849434,8.168156186324367,1.0506250000000001
3525,6.865627510062661,7.213199902759585,1.0506250000000001
3575,5.7344858063801,6.024794150328095,1.0506250000000004
3625,6.072993558330766,6.380438857221262,1.0506250000000001
3675,5.1993519777444375,5.462569171617751,1.0506250000000004
3725,4.494678971270136,4.722222094190688,1.0506250000000004
3775,3.8484444521083434,4.043271952496329,1.0506250000000001
3825,3.563036916452455,3.74341566034786,1.050625
3875,3.1196739985977007,3.2776074947767113,1.0506250000000006
3925,2.808437390096973,2.9506145329706364,1.0506250000000015
3975,2.635996155509595,2.769443460882268,1.050625
4025,2.467772453922043,2.592703434401847,1.0506250000000001
4075,1.979705797911275,2.0799284039305324,1.0506249999999995
4125,1.4580727932131765,1.531887728369595,1.050625000000001
4175,1.357379544352399,1.426096883785239,1.050625
4225,1.2026282276777256,1.26351128170391,1.0506249999999997
4275,1.0843644493278415,1.1392603995750634,1.050625
4325,1.0209137440261213,1.0725975023174439,1.0506250000000001
4375,0.8604295654857361,0.9039888122384518,1.0506250000000004
4425,0.7835384030103495,0.823205034662748,1.0506249999999995
4475,0.674971880898544,0.7091423323690335,1.050625000000001
4525,0.5938509500700376,0.6239146544173338,1.050625000000001
4575,0.5592780256158006,0.5875914756626006,1.0506250000000001
4625,0.48244779315587005,0.5068717126843866,1.0506250000000013
4675,0.4432877702076112,0.46572921357437186,1.0506250000000008
4725,0.36864181984882904,0.38730431197867576,1.0506249999999993
4775,0.3003289754008435,0.3155331297805108,1.0506249999999986
4825,0.2475354023278321,0.2600668820706789,1.0506250000000013
4875,0.2282505324158256,0.23980571561937697,1.0506250000000008
4925,0.20324079080799257,0.21352985584264694,1.0506249999999988
4975,0.13096124095465198,0.13759115377798117,1.0506249999999995
