ell,DlTT,DlTT_c,ratio
25,564.2773206998021,592.8438600602293,1.0506249999999995
75,1989.1199817826198,2089.819180860365,1.0506250000000001
125,3080.247245589088,3236.184762397035,1.0506249999999997
175,5482.154555549147,5759.688629923823,1.0506250000000001
225,5306.656652043079,5575.306145052762,1.0506250000000004
275,4459.313136524617,4685.065864061177,1.0506250000000004
325,3761.1605328555356,3951.5692848313474,1.0506250000000001
375,2972.684680621527,3123.176842577993,1.0506250000000004
425,2067.8413772985073,2172.525847024245,1.0506250000000006
475,2615.5610568104153,2747.9738353114444,1.0506250000000008
525,2542.277861491342,2670.980678229342,1.0506250000000004
575,2372.0578045880875,2492.143230945359,1.0506249999999997
625,2202.980695221821,2314.506592917426,1.0506250000000001
675,2369.550061158644,2489.5085330048,1.050625
725,2083.2322361053107,2188.6958680581424,1.0506250000000001
775,2430.2658687181383,2553.2980783219946,1.0506250000000001
825,2412.405816713454,2534.5338611845727,1.0506250000000001
875,2156.259446795943,2265.4200812899876,1.050625
925,1842.5853814241607,1935.8662663587593,1.0506250000000001
975,1230.1686247640453,1292.4459113927255,1.0506250000000004
1025,1031.1806635555745,1083.384184648076,1.0506250000000004
1075,1163.0525637709338,1221.9320998118374,1.050625
1125,1251.7885383248906,1315.1603330775888,1.0506250000000004
1175,1023.628651641001,1075.449852130327,1.0506250000000001
1225,890.7983840375178,935.8950522294175,1.0506250000000004
1275,783.5020792849452,823.1668720487454,1.0506249999999997
1325,816.7943095032451,858.1445214218471,1.0506250000000001
1375,837.5014658887382,879.8999775993557,1.0506250000000001
1425,790.2719677641438,830.2794861322038,1.0506250000000004
1475,765.7000880256053,804.4636549819018,1.0506250000000004
1525,659.4971271228263,692.8841691834197,1.0506250000000004
1575,500.4044392457215,525.7374139825362,1.050625
1625,410.3249520906865,431.0976527902776,1.0506250000000001
1675,361.76706058670976,380.0815180289121,1.0506250000000006
1725,383.05261442276304,402.44465302791536,1.050625
1775,366.42981531099093,384.98032471111,1.0506250000000004
1825,288.8373029223873,303.4596913828333,1.0506250000000004
1875,296.0921989259837,311.08186649661167,1.0506250000000001
1925,253.1534058987804,265.96929707240616,1.0506250000000001
1975,249.82600647010244,262.4734480476514,1.0506250000000001
2025,242.1211469078158,254.37852997002392,1.0506249999999997
2075,224.92359951518782,236.31035674064424,1.0506250000000001
2125,213.6638597849491,224.48059268656223,1.0506250000000004
2175,153.34823134172558,161.11148555340048,1.0506250000000004
2225,110.74599714632117,116.35251325185371,1.0506250000000001
2275,114.47779100168857,120.27322917114905,1.050625
2325,107.79440744262827,113.25149931941134,1.0506250000000001
2375,100.94201400058502,106.05220345936463,1.050625
2425,98.86860854771885,103.87383185544712,1.0506250000000001
2475,85.30906044384268,89.62783162881225,1.0506250000000004
2525,74.07878062272168,77.82901889174695,1.050625
2575,63.31736867567644,66.52281046488255,1.050625
2625,68.16146131630363,71.6121352954415,1.0506250000000001
2675,63.17615020246783,66.37444280646777,1.0506250000000001
2725,53.56991751088261,56.28189458487104,1.050625
2775,46.65459009659945,49.01647872023979,1.050625
2825,35.59650750298943,37.39858069532826,1.0506249999999997
2875,32.10924808124287,33.73477876535579,1.0506250000000001
2925,27.934770712376054,29.34896847969008,1.0506249999999995
2975,23.517312730348202,24.70787668732208,1.0506250000000001
3025,23.557521979350504,24.750121529555127,1.0506250000000001
3075,20.12711339989381,21.146048515763436,1.0506250000000001
3125,19.67493479670745,20.670978370790763,1.050625
3175,16.964306159163513,17.823124158471167,1.0506250000000001
3225,14.691287516939347,15.435033947484403,1.0506250000000001
3275,13.66304892450496,14.354740776308022,1.050625
3325,11.806791475157176,12.40451029358701,1.0506250000000001
3375,10.765387684694108,11.310385436231753,1.0506250000000006
3425,8.905392941033202,9.35622845867301,1.0506250000000001
3475,7.518218824122525,7.898828652093729,1.0506250000000001
3525,6.418950234330375,6.743909589943353,1.0506250000000004
3575,6.0165034307575125,6.321088916939614,1.0506250000000004
3625,5.75702124700302,6.048470447632544,1.0506249999999995
3675,5.361872493302303,5.633317288275732,1.050625
3725,4.47769122051164,4.704374338550043,1.0506250000000001
3775,3.815537541360196,4.008699129391557,1.0506250000000001
3825,3.152788039370215,3.3123979338633327,1.0506250000000001
3875,3.1952383441357513,3.356997285307624,1.0506250000000001
3925,2.9528312028289943,3.102318282472213,1.0506250000000004
3975,2.4645526420050548,2.5893206195065597,1.0506249999999997
4025,2.1459931021529206,2.2546340029494116,1.0506249999999997
4075,1.909577894928192,2.0062502758589327,1.0506250000000004
4125,1.5735078829386246,1.6531667195123916,1.0506249999999995
4175,1.3596502670046136,1.4284825617717223,1.0506250000000001
4225,1.2608095997479154,1.324638085735154,1.0506250000000004
4275,1.0967937314177811,1.1523189140708052,1.050624999999999
4325,1.0088300053762977,1.0599020243984725,1.0506249999999997
4375,0.8961608753687457,0.9415290196842878,1.0506249999999993
4425,0.7611342493566124,0.7996666707302913,1.0506250000000004
4475,0.6763999041335637,0.7106426492803258,1.0506250000000008
4525,0.60279262679111,0.6333090035224097,1.0506249999999997
4575,0.5648726606856542,0.593469339132866,1.050625000000001
4625,0.5062085836026187,0.5318353931475015,1.0506250000000006
4675,0.414875678376872,0.4358787595947013,1.0506250000000004
4725,0.32981212342542265,0.34650886217383475,1.0506250000000001
4775,0.2788952185719669,0.29301428901217286,1.0506250000000004
4825,0.25465033111354884,0.2675420041261722,1.0506249999999997
4875,0.2358377527073119,0.24777703893811973,1.0506250000000008
4925,0.20625496337171045,0.21669662089240316,1.0506249999999993
4975,0.138626785450658,0.1456447664640974,1.0506249999999988
