ell,DlTT,DlTT_c,ratio
25,406.6124659378728,427.19722202597785,1.0506250000000006
75,1936.3281094557378,2034.3547199969353,1.0506250000000004
125,3638.9519198750836,3823.17386081876,1.0506250000000001
175,5008.440821446969,5261.9931380327225,1.0506250000000001
225,6012.545551375749,6316.930669914147,1.0506250000000001
275,5725.520053141881,6015.374505832187,1.0506249999999997
325,3880.5762078784996,4077.030378402349,1.0506250000000001
375,2253.412319133889,2367.4913177900426,1.0506250000000001
425,1792.1452167564014,1882.8725683546945,1.0506250000000001
475,2692.80996871445,2829.1334733806184,1.0506249999999997
525,2620.4312783325317,2753.090611798116,1.050625
575,2254.6805440885055,2368.823746632985,1.0506249999999997
625,1900.9535803754404,1997.189355381947,1.050625
675,1573.7902883359611,1653.4634216829697,1.0506250000000004
725,2313.6245916031016,2430.7518365530095,1.0506250000000004
775,2230.752627883109,2343.6844796696914,1.050625
825,2450.752538880364,2574.8218861611836,1.0506250000000004
875,2128.0400368930245,2235.772063760735,1.0506250000000004
925,1538.86464416312,1616.7696667738774,1.0506249999999997
975,1127.757694810089,1184.8504281098496,1.0506249999999997
1025,1086.6126315173015,1141.6223959878648,1.050625
1075,1162.4327562368794,1221.2809145213714,1.050625
1125,1287.6468159968392,1352.8339360566792,1.0506250000000001
1175,1004.9576845679533,1055.8336673492058,1.050625
1225,1029.2661086641317,1081.3727054152534,1.0506250000000001
1275,830.7321082101719,872.7879211883117,1.0506249999999997
1325,755.9388756769905,794.2082812581381,1.050625
1375,859.185580690168,902.6818507126078,1.0506250000000001
1425,766.582065554166,805.3902826228457,1.0506250000000001
1475,716.1094729045271,752.3625149703188,1.050625
1525,575.5071367720197,604.6421855711035,1.0506250000000004
1575,442.6264532772461,465.03441747440684,1.0506250000000004
1625,401.0853533477189,421.39029936094727,1.0506250000000001
1675,424.28124831624035,445.7604865122501,1.0506250000000001
1725,433.06998568414326,454.99415370940307,1.0506250000000001
1775,374.9014170072231,393.88080124321385,1.0506250000000004
1825,327.2296524054113,343.7956535584354,1.0506250000000006
1875,271.679140231089,285.4328967052879,1.0506250000000001
1925,224.38496233695057,235.7444510552587,1.0506250000000001
1975,236.83640024338953,248.82624300571115,1.0506250000000001
2025,246.9316773115471,259.43259347544415,1.050625
2075,224.80763711817852,236.1885237472863,1.050625
2125,191.73025604158386,201.43660025368916,1.0506250000000006
2175,154.35903693971517,162.17346318478823,1.050625
2225,120.57022132119282,126.67408877557823,1.0506250000000001
2275,111.97890981211732,117.64784212135578,1.0506250000000001
2325,101.5714323158782,106.71348607686953,1.050625
2375,107.01046048429498,112.42786504631243,1.0506250000000001
2425,97.19071248499147,102.11099230454417,1.0506250000000001
2475,81.25753877418283,85.37120167462587,1.0506250000000004
2525,68.2698783441171,71.72604093528801,1.0506249999999997
2575,62.49958076640794,65.66362204270733,1.050625
2625,60.86585160054899,63.94718533782678,1.050625
2675,56.50116330134198,59.361534693472436,1.0506250000000004
2725,54.669213681151184,57.436842623759475,1.0506250000000001
2775,46.86873882925207,49.24146873248296,1.0506250000000001
2825,32.699481680602354,34.35489294068283,1.0506249999999995
2875,29.49286955601426,30.985946077287494,1.0506250000000004
2925,28.815317534815414,30.274092985015447,1.0506250000000001
2975,28.298940231816655,29.73157408105237,1.050625
3025,25.9672686315803,27.28186160605406,1.0506250000000004
3075,22.996149628677543,24.160329703629355,1.0506250000000006
3125,18.96843863219477,19.928715837949625,1.0506249999999997
3175,16.438134314595956,17.27031486427238,1.0506250000000001
3225,15.10297600414392,15.867564164353704,1.0506249999999997
3275,13.160078554833133,13.826307531671558,1.050625
3325,12.195268807680195,12.812654291069006,1.0506250000000001
3375,11.799775550633695,12.39713918788453,1.0506250000000004
3425,9.437541922913546,9.915317482761042,1.0506249999999997
3475,7.5852093130303055,7.969210534502462,1.0506249999999997
3525,6.441834275040991,6.76795213521494,1.050625
3575,5.643122664966469,5.9288057498803965,1.050625
3625,6.08949894918233,6.397779833484688,1.0506250000000004
3675,5.321904343758416,5.591325751161189,1.0506250000000004
3725,4.490830423018047,4.718178713183335,1.0506249999999997
3775,3.928207897187191,4.127073421982292,1.0506249999999997
3825,3.4320652917588212,3.6058135971541123,1.0506250000000001
3875,2.9058875706685363,3.0529981289336323,1.0506250000000004
3925,2.7047629031532354,2.841691525125367,1.0506249999999997
3975,2.5224050320923563,2.6501017868420327,1.0506250000000004
4025,2.202629091119245,2.314137188857156,1.0506249999999995
4075,1.769779134261138,1.859374202933108,1.050625
4125,1.4806605763481586,1.5556190180257852,1.0506250000000006
4175,1.406589236700331,1.477797816808285,1.050625
4225,1.256562759846061,1.3201762495632683,1.0506250000000004
4275,1.0585182122958723,1.1121056967933507,1.050625
4325,1.015572429414518,1.066985783653628,1.050625
4375,0.850193358502896,0.8932343972771046,1.0506249999999995
4425,0.7581342005259455,0.7965147444275719,1.0506250000000006
4475,0.6876832939739778,0.7224972607314105,1.0506250000000001
4525,0.6561452234005497,0.6893625753352025,1.050625
4575,0.5452906605610124,0.5728960002519135,1.0506249999999997
4625,0.4807512568549664,0.505089289233249,1.050625
4675,0.4175037160574787,0.4386398416828885,1.050625
4725,0.3595543142407512,0.3777567513991896,1.0506250000000013
4775,0.31243499052611706,0.32825201192150233,1.050625000000002
4825,0.2555528495391315,0.2684902125470499,1.0506249999999995
4875,0.24098655866395835,0.25318650319632147,1.050625000000001
4925,0.20704548650494004,0.21752716425925261,1.050625
4975,0.1287051023043974,0.13522079810855758,1.0506250000000004
