ell,DlTT,DlTT_c,ratio
25,1130.268779040388,1187.4886359793074,1.050625
75,1840.4396396748527,1933.6118964333923,1.0506250000000001
125,3685.757628102372,3872.349108025055,1.0506250000000001
175,4973.037627309491,5224.797657192033,1.0506249999999997
225,5654.522338528085,5940.78253191607,1.0506250000000001
275,4468.542441469823,4694.762402569232,1.050625
325,3469.9020976252605,3645.5658913175394,1.050625
375,1831.585744351674,1924.309772659478,1.0506250000000004
425,2101.6177555010518,2208.0121543732926,1.050625
475,2461.790724270692,2586.4188796868966,1.0506250000000004
525,2066.974468086463,2171.61505053334,1.050625
575,2293.208016551759,2409.3016723896926,1.0506250000000004
625,1922.4552719219303,2019.7795700629786,1.0506250000000004
675,1820.6952969814565,1912.8679963911427,1.050625
725,1782.739544158102,1872.990733581106,1.0506250000000001
775,2314.484428827334,2431.655203036718,1.0506250000000001
825,2235.7088635046794,2348.8916247196034,1.050625
875,1680.085161268123,1765.139472557322,1.0506250000000001
925,1418.2471327160213,1490.0458938097702,1.0506250000000001
975,1200.2942006402227,1261.059094547634,1.050625
1025,1133.34500049219,1190.7205911421067,1.0506249999999997
1075,1095.376028841991,1150.829440302117,1.0506250000000001
1125,1339.0753105616407,1406.865998158824,1.0506250000000001
1175,1123.0124948736793,1179.8650024266597,1.0506250000000004
1225,859.8687273581221,903.399581680627,1.050625
1275,772.5109603314019,811.6193276981791,1.050625
1325,778.475266140422,817.8855764887808,1.050625
1375,771.2593047130455,810.3043070141435,1.0506250000000001
1425,888.1174669650642,933.0784137301707,1.0506250000000001
1475,781.3850988639753,820.9427194939642,1.0506250000000004
1525,644.1419572764303,676.7516438635495,1.050625
1575,444.83502374993736,467.354796827278,1.0506250000000001
1625,422.86359411337276,444.27106356536217,1.0506249999999997
1675,357.5001377917316,375.59858226743796,1.0506249999999997
1725,362.8125653005876,381.1799514189299,1.0506250000000001
1775,377.900025370532,397.0312141549151,1.050625
1825,321.2712857904936,337.53564463363733,1.050625
1875,289.7581621073581,304.427169064043,1.0506249999999997
1925,245.24985809939525,257.66563216567715,1.0506250000000001
1975,232.6797113188038,244.4591217043182,1.0506249999999997
2025,220.21755789682194,231.3660717653486,1.0506250000000001
2075,217.00428974467596,227.99013191300025,1.0506250000000004
2125,203.03512472351127,213.31377791263907,1.0506250000000001
2175,164.96831382370632,173.31983471103146,1.050625
2225,134.41628953095287,141.22111418845742,1.0506250000000006
2275,110.83404276087836,116.44501617564785,1.0506250000000001
2325,113.7741848156406,119.53400292193237,1.0506249999999997
2375,114.20746401138136,119.98921687695758,1.0506250000000004
2425,101.55745827454,106.6988045996886,1.0506250000000001
2475,67.92297755724212,71.36157829607751,1.0506250000000001
2525,63.43679669217296,66.64828452471419,1.0506249999999995
2575,61.1253974155639,64.21987065972681,1.0506249999999997
2625,65.22247017705484,68.52435772976824,1.050625
2675,62.04685773981551,65.18797991289368,1.0506250000000001
2725,55.23251245115893,58.02865839399887,1.0506250000000004
2775,46.54084639709036,48.896976745943064,1.0506250000000001
2825,36.07584943789425,37.90218931568766,1.0506250000000004
2875,33.09629855404653,34.77179866834513,1.050625
2925,27.141093999612497,28.515111883342882,1.0506250000000001
2975,26.011243479014965,27.328062680140096,1.050625
3025,24.895449061233336,26.15578116995827,1.050625
3075,22.054365752014224,23.17086801820995,1.0506250000000004
3125,18.275593346079912,19.20079525922521,1.0506250000000001
3175,15.033519094965298,15.794590999147921,1.0506250000000004
3225,14.404463761274238,15.133689739188753,1.0506250000000006
3275,13.950652209167872,14.656903977256999,1.0506250000000001
3325,12.865159440189144,13.516458136848717,1.050625
3375,11.239641334731235,11.808648177302004,1.050625
3425,9.399445410904628,9.875292334831677,1.0506250000000004
3475,7.6102479744373825,7.995516778143278,1.0506250000000004
3525,5.807599222512706,6.101608933152413,1.0506250000000001
3575,5.8989561606247785,6.19759081625641,1.0506250000000004
3625,5.3771384859854265,5.64935612183844,1.0506250000000001
3675,5.07197218189783,5.328740773606408,1.0506250000000001
3725,4.572210976062569,4.803679156725738,1.0506250000000004
3775,3.9655913610304063,4.166349423682574,1.0506250000000008
3825,3.3121312956614486,3.4798079425043094,1.050625
3875,3.1377318846962567,3.296579561359005,1.0506250000000001
3925,2.5891098259833214,2.7201835109237287,1.0506250000000006
3975,2.448958493553328,2.572937017289466,1.0506250000000001
4025,2.075549177713643,2.1806238548353947,1.0506249999999993
4075,1.7136242226816734,1.8003764489549325,1.0506249999999997
4125,1.510734284521647,1.5872152076755561,1.0506250000000006
4175,1.3465848208549938,1.4147556774107763,1.0506249999999988
4225,1.1432149917230086,1.2010902506789864,1.0506250000000006
4275,1.04955232381772,1.1026859102109925,1.0506250000000004
4325,1.0149770386620491,1.066360251244315,1.0506249999999997
4375,0.9128081264284078,0.9590190378288471,1.0506250000000013
4425,0.737392128593861,0.7747226051039254,1.0506250000000001
4475,0.698239563811586,0.7335879417295472,1.0506249999999995
4525,0.6467632955987936,0.6795056874384835,1.0506250000000015
4575,0.5698476779080112,0.598696216602105,1.0506250000000015
4625,0.48685163975035545,0.5114985040127167,1.050624999999999
4675,0.4413833647582769,0.4637283975991651,1.050625000000001
4725,0.36442536430917655,0.382874398377329,1.050625000000001
4775,0.30968356385639884,0.3253612942766287,1.0506249999999988
4825,0.27788774664867105,0.2919558138227599,1.0506249999999997
4875,0.2424018812542932,0.25467347649279176,1.050625
4925,0.2073111053748819,0.21780623008448563,1.0506250000000017
4975,0.14177569414476646,0.1489530886608451,1.050624999999999
