ell,DlTT,DlTT_c,ratio
25,524.6554017374907,551.2160814504512,1.050625
75,2371.1959405929383,2491.2377350854576,1.0506250000000008
125,4080.9962512065003,4287.59668642383,1.0506250000000001
175,7103.1116799936235,7462.706708793302,1.0506250000000001
225,5830.22964058692,6125.385016141632,1.050625
275,4909.538902557753,5158.08430949974,1.0506250000000001
325,3698.288093161861,3885.5139278781803,1.050625
375,2392.804632912941,2513.9403674541586,1.050625
425,1896.1822660580642,1992.1764932772533,1.0506249999999997
475,2124.6865256278525,2232.2487809877625,1.050625
525,2105.6183646824315,2212.21529439448,1.0506250000000004
575,2091.34997671081,2197.2245692817946,1.050625
625,2245.18181507848,2358.8441444668283,1.050625
675,2526.454049627737,2654.3557858901413,1.0506250000000001
725,1983.3647970549996,2083.7726399059097,1.0506250000000004
775,2193.0442183080936,2304.067081859941,1.0506250000000001
825,2733.699618738105,2872.093161936722,1.0506250000000001
875,2183.1778173670778,2293.7011943712864,1.0506250000000001
925,1684.2025782466872,1769.4653337704262,1.0506250000000004
975,1227.2024807701912,1289.3296063591822,1.0506250000000001
1025,1099.696864645114,1155.3690184177726,1.050625
1075,1205.2391954094992,1266.2544296771052,1.0506250000000001
1125,1115.3662259165917,1171.8316411036192,1.050625
1175,1067.12712895859,1121.1504398621187,1.0506250000000001
1225,931.1307313919276,978.2692246686441,1.0506250000000001
1275,743.5349208855191,781.1763762553486,1.0506250000000001
1325,736.7605408099789,774.0590431884841,1.050625
1375,836.6769563036831,879.033727216557,1.050625
1425,820.9788190501799,862.5408717645954,1.0506250000000001
1475,785.4390774079596,825.2019307017379,1.0506250000000004
1525,594.0362146723705,624.1092980401595,1.0506250000000004
1575,461.5129339466627,484.8770262277124,1.0506249999999997
1625,428.04632386852927,449.7161690143736,1.050625
1675,379.9140442006432,399.14719268830083,1.0506250000000001
1725,409.8320083157601,430.5797537367453,1.0506249999999997
1775,388.6789752659639,408.35584838880334,1.050625
1825,344.28901110552266,361.7186422927397,1.0506249999999997
1875,290.0970107083894,304.7831718755016,1.050625
1925,270.7349790227107,284.4409373357354,1.0506249999999997
1975,244.27518804360648,256.641619438314,1.050625
2025,211.38069115633922,222.08183864612886,1.050625
2075,218.0596541955351,229.09892418918412,1.0506250000000001
2125,205.39264258976917,215.79064512087635,1.0506250000000006
2175,158.4850178596444,166.5083218887889,1.0506250000000001
2225,121.61125176716553,127.7678213878783,1.0506250000000001
2275,111.87948044978573,117.5433791475562,1.0506250000000006
2325,110.80264261688633,116.41202639936624,1.0506250000000004
2375,104.30844113485747,109.58905596730959,1.0506249999999995
2425,98.11178854966437,103.07869784499114,1.0506250000000001
2475,80.49180730590959,84.56670505077126,1.050625
2525,70.23901029107037,73.7948601870558,1.050625
2575,63.9759048048308,67.21468498557537,1.0506250000000004
2625,61.39309965758761,64.50112532775299,1.0506250000000001
2675,60.017584117636225,63.05597431359156,1.0506250000000001
2725,53.383168007762784,56.08569088815579,1.0506250000000004
2775,48.638260352642696,51.100572282995245,1.0506250000000001
2825,40.45273845011135,42.50065833414824,1.0506250000000001
2875,32.3856116155543,34.025133203591736,1.050625
2925,28.210134416515704,29.63827247135181,1.050625
2975,25.732146285629533,27.034836191339526,1.050625
3025,23.992559333322504,25.207182649571962,1.0506250000000004
3075,21.42354922274398,22.508116402145404,1.0506250000000006
3125,20.06469238784417,21.080467439978786,1.0506250000000004
3175,16.880318268465754,17.734884380806832,1.050625
3225,13.906916252442572,14.610953887722484,1.0506250000000004
3275,14.12238127382897,14.837326825816557,1.0506249999999997
3325,12.091856982869313,12.70400724262707,1.0506249999999997
3375,10.556612381955775,11.091040883792285,1.050625
3425,9.446961588349103,9.925214018759274,1.0506249999999997
3475,7.842302656923662,8.239319228930423,1.0506250000000001
3525,7.144546770965556,7.50623945124569,1.0506250000000004
3575,6.323049776966875,6.6431541719258185,1.0506249999999993
3625,5.488147074870034,5.765984520535331,1.0506250000000001
3675,4.692262796276893,4.9298086003384105,1.050625
3725,4.243157096810285,4.457966924836306,1.0506250000000001
3775,3.9550080961115595,4.155230380977207,1.050625
3825,3.4116121319352075,3.584324996114428,1.0506250000000001
3875,2.9484440565187584,3.0977090368800204,1.050625
3925,2.6955141316795626,2.831974534595842,1.0506250000000006
3975,2.487307728337879,2.613227682084984,1.050625
4025,2.227798471350225,2.3405807689623304,1.0506250000000001
4075,1.8865645205690782,1.9820718494228877,1.050625
4125,1.525943223291283,1.6031940989704048,1.0506250000000004
4175,1.3275582875450656,1.394765925852035,1.0506250000000004
4225,1.196892630567453,1.257485319989931,1.0506250000000006
4275,1.0900946614976361,1.1452807037359545,1.0506250000000006
4325,1.025933771868601,1.0778716690694488,1.050625
4375,0.8524045317597073,0.8955575111800427,1.0506250000000001
4425,0.7466264694478595,0.7844244344636578,1.0506250000000006
4475,0.6557649082153749,0.6889630066937779,1.0506249999999993
4525,0.605299356710636,0.6359426366441114,1.0506249999999993
4575,0.5680878642951741,0.5968473124251177,1.0506250000000006
4625,0.5030408596933714,0.528507303215349,1.0506250000000013
4675,0.40030942845004647,0.4205750932653311,1.0506250000000026
4725,0.3261515087779839,0.34266292890986916,1.0506249999999995
4775,0.28240962286171767,0.296706610019092,1.0506249999999995
4825,0.24645720398838322,0.2589340999402954,1.0506250000000013
4875,0.2335244599737404,0.24534663575991145,1.050625000000002
4925,0.21615799086805415,0.22710098915574953,1.0506250000000006
4975,0.13435633260968946,0.1411581219480551,1.0506250000000008
