ell,DlTT_c,DlTT,ratio,difference
25,782.7538701709278,762.4318421838441,1.0266542225320432,20.322027987083743
75,3219.97451839524,3274.694225117303,0.9832901324641683,-54.719706722063165
125,5159.529588974091,5132.108007869674,1.0053431418556211,27.421581104416873
175,3806.6725003975157,3891.9448456434957,0.9780900427349501,-85.27234524597998
225,5813.382125661609,5833.068377491544,0.9966250606788873,-19.686251829934918
275,4414.156127910217,4495.450305886263,0.981916343759912,-81.29417797604583
325,3061.531314755853,3096.8378879314446,0.9885991535710722,-35.30657317559144
375,2728.734902508781,2761.898361148882,0.9879925130096728,-33.163458640101
425,2089.685928377118,2109.1936012418482,0.9907511226787127,-19.50767286473001
475,2247.286117348803,2252.469298192734,0.99769888945963,-5.183180843931041
525,2487.5345843200303,2524.535351503172,0.9853435337472654,-37.00076718314176
575,2585.8453747493327,2599.2747198644206,0.9948334260274773,-13.429345115087926
625,2480.2388212331757,2479.7868118407114,1.0001822775209168,0.45200939246433336
675,1949.7577730615121,1941.7261270217596,1.0041363433946637,8.031646039752559
725,2281.844089258538,2272.723065397918,1.0040132579281158,9.121023860619971
775,2563.6075215564947,2560.622251907534,1.0011658375798058,2.9852696489606387
825,2521.94160179424,2518.356027965543,1.0014237755856916,3.5855738286968517
875,2419.7139849200785,2403.120037432978,1.0069051679602432,16.59394748710065
925,1687.0121114559126,1663.9820656996671,1.0138403208970657,23.0300457562455
975,1306.0287344127926,1292.9737063854343,1.010096901400922,13.055028027358276
1025,1084.1033877754417,1074.5664457905873,1.0088751533441358,9.536941984854366
1075,1047.6863490587814,1038.7000599643861,1.008651476437484,8.98628909439526
1125,1257.8822491943429,1246.3686301773241,1.0092377317097436,11.513619017018755
1175,1198.3818379473992,1186.2230886245989,1.010249968525649,12.158749322800304
1225,942.6320963732652,942.586577362458,1.0000482915966558,0.045519010807197446
1275,792.3149519741847,791.8913759722196,1.0005348915455041,0.4235760019651025
1325,727.6241669959504,731.369876147042,0.9948785022828334,-3.745709151091546
1375,745.6123495754595,748.9532226478146,0.9955392767247279,-3.34087307235518
1425,733.9322848756595,735.6046651053346,0.9977265230782141,-1.6723802296750137
1475,916.4500783153228,914.7041532028912,1.0019087320269817,1.7459251124315642
1525,683.4629817876094,684.2870155274013,0.9987957776180265,-0.8240337397919575
1575,492.91641314172006,489.4553572992861,1.0070712390636223,3.46105584243395
1625,392.9919750125377,389.19040229753364,1.0097678994460346,3.801572715004056
1675,363.45461785737467,363.5344903567904,0.9997802890742572,-0.07987249941572827
1725,363.36669045645345,362.2691318670658,1.003029677366468,1.0975585893876314
1775,392.1254122299452,395.6222833943872,0.9911610864422518,-3.496871164441984
1825,360.73277688410036,359.73208140217815,1.0027817799236078,1.0006954819222074
1875,264.2208515010216,266.5383311033743,0.9913052670782506,-2.3174796023526483
1925,239.32954473203932,238.3044157890988,1.0043017622629693,1.025128942940512
1975,227.28692892598986,225.4267390832497,1.008251859785157,1.8601898427401693
2025,220.42008248689365,218.0165110227547,1.011024722177524,2.4035714641389347
2075,220.2754702032956,219.41987270234262,1.0038993619420866,0.8555975009529959
2125,191.59710611814006,191.21853779089224,1.001979767922197,0.3785683272478195
2175,160.5811500300087,159.298711369267,1.0080505275260445,1.2824386607416898
2225,125.72725281283647,124.71036478609518,1.008153997692858,1.0168880267412845
2275,109.83244276444411,109.60505208738336,1.0020746368231226,0.2273906770607539
2325,96.41034414161045,96.65209011943998,0.9974988023794334,-0.2417459778295239
2375,103.33159728757761,103.05067885410028,1.002726022153382,0.2809184334773249
2425,88.14832357752191,87.87858607495306,1.0030694338019819,0.26973750256884443
2475,76.6065946353021,76.30587392183591,1.0039409903590677,0.3007207134661911
2525,67.05846526413754,67.43303604944057,0.9944452925858417,-0.37457078530303534
2575,58.30666208095942,58.26283992068479,1.0007521459704725,0.043822160274629596
2625,65.81588318125034,65.83070420361419,0.9997748615552098,-0.014821022363847192
2675,65.71696113571512,65.59740705213463,1.00182254282529,0.11955408358049624
2725,54.87413629828447,54.96295505409703,0.9983840250997215,-0.08881875581256082
2775,47.591139179364035,47.43912662933854,1.0032043707552467,0.1520125500254963
2825,35.947236763025394,35.76097483406007,1.0052085249305878,0.18626192896532245
2875,30.04729610516948,30.126663591030443,0.9973655401428324,-0.07936748586096343
2925,27.79076832387622,27.83278316301696,0.998490454982721,-0.04201483914073734
2975,24.88739228656071,24.878404636078333,1.0003612631361958,0.008987650482378484
3025,25.863227817898892,25.864208066379437,0.9999621001935173,-0.0009802484805447875
3075,23.268976008437804,23.255250056442776,1.0005902302474372,0.013725951995027685
3125,17.606313282048514,17.542354734634458,1.0036459499526469,0.06395854741405671
3175,16.01744932324182,15.985238396833344,1.002015041978658,0.032210926408476226
3225,14.119786252448561,14.027636026319156,1.0065691914130441,0.09215022612940516
3275,12.940227337103787,12.905953818602757,1.0026556362267178,0.03427351850102944
3325,12.879280926803604,12.8733452139465,1.0004610855032983,0.005935712857104036
3375,11.613469473875224,11.540200238382008,1.006349043688993,0.07326923549321585
3425,9.200172935346727,9.180184768967107,1.0021773163484886,0.019988166379619088
3475,7.450840099456875,7.412290022183668,1.005200832287705,0.03855007727320725
3525,6.827716289300723,6.828778994439579,0.9998443784548128,-0.0010627051388567565
3575,6.089996539338892,6.091690424142196,0.9997219351796686,-0.0016938848033039022
3625,5.605358540178514,5.604438832500743,1.0001641034375177,0.0009197076777711644
3675,5.223209529087007,5.2397309638485225,0.9968468925455324,-0.016521434761515685
3725,4.4223991016468664,4.4104819660446575,1.0027020030223355,0.011917135602208973
3775,4.004009448368447,4.0040990174495334,0.9999776306528145,-8.956908108626038e-05
3825,3.501416189523756,3.489061370855223,1.0035410150052777,0.012354818668533163
3875,3.0683353035966214,3.061161838953365,1.0023433797429375,0.007173464643256633
3925,2.698719373133931,2.6938270210835666,1.0018161344481564,0.0048923520503643125
3975,2.5835847186931864,2.5900606522212453,0.9974996981161406,-0.006475933528058864
4025,2.156054656877908,2.168224074673384,0.9943873800048508,-0.012169417795475646
4075,1.7842703265382127,1.7859402146629915,0.9990649809489318,-0.0016698881247787511
4125,1.4955630508184292,1.488786131626512,1.0045519763033481,0.006776919191917141
4175,1.2994684483592402,1.2971415250934335,1.0017938854171207,0.0023269232658067462
4225,1.2300128902317113,1.231564320968546,0.9987402763214067,-0.0015514307368347247
4275,1.0950560703794927,1.0966464564444154,0.9985497732148982,-0.0015903860649226775
4325,0.9726258488108532,0.9706235574788902,1.0020628917529715,0.0020022913319630575
4375,0.9056392390446149,0.9057891553828942,0.9998344909106183,-0.00014991633827932116
4425,0.7968170699462748,0.7954739984472197,1.0016883914517343,0.001343071499055104
4475,0.7136272467639458,0.7086833601155287,1.0069761573738816,0.004943886648417162
4525,0.6150074103053758,0.6126050933433245,1.0039214772912521,0.0024023169620512874
4575,0.5626251622967725,0.5613205145555009,1.0023242473906457,0.0013046477412715918
4625,0.4944916308971419,0.49357829032111034,1.001850447221731,0.0009133405760315405
4675,0.43324980016107534,0.431739754367216,1.0034975833904212,0.001510045793859327
4725,0.358090879266247,0.3571741809621379,1.0025665301496312,0.0009166983041091203
4775,0.2898478013057924,0.2891693808171847,1.0023461007064114,0.0006784204886077227
4825,0.2517339145096738,0.2512890941786658,1.0017701537444825,0.0004448203310080112
4875,0.22538576913846786,0.22469570004425304,1.0030711272804904,0.000690069094214818
4925,0.2173019326047457,0.21782384106338096,0.9976039883601016,-0.0005219084586352563
4975,0.13711345054008695,0.13745191290722417,0.9975375943486092,-0.0003384623671372211
