ell,DlTT_c,DlTT,ratio,difference
25,179.21559660911512,178.3036089004411,1.0051148022987197,0.9119877086740189
75,1479.8248717221811,1482.5706835717112,0.9981479386581994,-2.745811849530128
125,3874.21501912103,3797.254375172784,1.0202674449337474,76.96064394824589
175,5797.667671270862,5703.8783364035635,1.016443081239779,93.78933486729875
225,5208.625791305093,5145.4770946045155,1.0122726611234543,63.1486967005776
275,4326.803252920776,4320.942778244215,1.0013562953682396,5.860474676560443
325,3366.4313468446403,3406.517064655048,0.9882326384839446,-40.085717810407914
375,2128.319662402567,2124.8657932219867,1.0016254528599393,3.4538691805801136
425,2008.8295187703443,2007.8833979132319,1.0004712030878364,0.9461208571124189
475,2113.5604390659846,2108.9529330281925,1.0021847363047482,4.607506037792064
525,2461.366751158389,2472.958982975619,0.9953124043313967,-11.592231817230186
575,2743.4630770951067,2778.711290055428,0.9873149063429263,-35.248212960321325
625,2262.042070250711,2288.737237816186,0.9883362899312346,-26.695167565475003
675,2036.3220336486158,2028.1652490602337,1.0040217554226223,8.156784588382152
725,1841.4567338352185,1845.4971153094132,0.9978106812301805,-4.040381474194646
775,2349.3482691053364,2339.9471671072565,1.004017655667714,9.401101998079866
825,2139.10883527132,2143.6022560034817,0.9979037992148136,-4.493420732161667
875,2075.706519238924,2071.1020167139695,1.002223213771121,4.604502524954569
925,1755.53962150579,1755.1153125962887,1.000241755573811,0.4243089095011783
975,1216.4944189937514,1222.9127146767828,0.9947516322252584,-6.418295683031374
1025,1051.097055778202,1054.5518680078894,0.9967239048789381,-3.454812229687377
1075,1319.2119021689873,1330.1336415564317,0.9917889909357795,-10.921739387444404
1125,1247.739709104303,1244.8999316622337,1.0022811290850322,2.8397774420693622
1175,1266.197768619488,1266.8792445049655,0.9994620829977021,-0.6814758854775391
1225,1060.7489655643578,1059.5257928156411,1.001154453017577,1.2231727487167063
1275,779.0474081405441,771.4044803061472,1.0099078084578452,7.6429278343969145
1325,773.6357567893056,770.3025579467293,1.0043271293963518,3.33319884257628
1375,730.572257468129,725.6561533850414,1.006774701847638,4.916104083087589
1425,770.1298132786848,767.977481107568,1.0028025980241149,2.1523321711167682
1475,761.567741048122,758.6258770553214,1.003877885110141,2.941863992800563
1525,666.4391631826271,663.1344569840564,1.004983463253592,3.3047061985706705
1575,554.3871664731355,551.8424083738479,1.0046113855344798,2.5447580992876055
1625,402.5814391592851,405.9628325902616,0.9916706822410283,-3.381393430976516
1675,365.16598580760024,364.29497645819,1.0023909452660549,0.871009349410258
1725,381.64965607932936,384.2261128730181,0.9932944255807511,-2.576456793688749
1775,363.2713002008361,364.0032269129237,0.9979892301551967,-0.7319267120876134
1825,300.6982797707514,301.18781419618034,0.9983746539456272,-0.48953442542892844
1875,283.46390676689015,283.2302065492441,1.0008251246238646,0.23370021764606008
1925,237.61428694469453,237.20763198500478,1.0017143418037893,0.40665495968974597
1975,212.23571147991026,212.74245115960227,0.9976180603498273,-0.5067396796920036
2025,211.10970610384888,210.71463680856138,1.0018749020061972,0.3950692952874988
2075,212.159903539601,212.57266411710015,0.9980582612575634,-0.4127605774991423
2125,199.96514898182687,199.48244965465005,1.0024197583697838,0.4826993271768174
2175,162.34280928766896,162.80335042924884,0.9971711814261462,-0.46054114157988124
2225,141.37557050890305,141.76720490834273,0.9972374823945152,-0.39163439943968115
2275,119.8512927596981,119.55248200543848,1.0024994107127447,0.29881075425961967
2325,108.13665347484633,107.85842384125348,1.0025795818600347,0.2782296335928436
2375,107.02426889977322,107.04181224184399,0.9998361075760644,-0.017543342070766244
2425,106.99067052417968,106.54470640073983,1.0041856994918403,0.44596412343985037
2475,92.63511748044029,92.26615229344412,1.0039989224414898,0.36896518699616365
2525,74.21458048504867,73.72161484944203,1.0066868534637148,0.4929656356066374
2575,64.65155060498294,64.57457807699558,1.0011919942844316,0.07697252798736542
2625,63.64328649033474,63.45229841296926,1.0030099473485177,0.19098807736547485
2675,59.65828057486079,59.42698874076457,1.0038920335523842,0.23129183409621845
2725,53.10195094661774,53.03304990036484,1.0012992095755826,0.06890104625290405
2775,45.17715802665801,45.064690042327,1.0024957008297488,0.1124679843310119
2825,35.077456513484435,34.97732034611517,1.0028628884768294,0.10013616736926423
2875,28.332808702612,28.28307373377894,1.001758471137232,0.04973496883305728
2925,26.02702630220249,26.006277607093892,1.0007978341007533,0.02074869510859756
2975,24.855606526002383,24.828784517044816,1.0010802787763997,0.026822008957566368
3025,25.4700407848067,25.32927488356566,1.0055574390458517,0.14076590124103916
3075,22.535881796474285,22.52589835182843,1.0004431985126596,0.009983444645854433
3125,18.692967522808065,18.58851761144459,1.0056190554592244,0.10444991136347426
3175,17.569953482119402,17.52020539674115,1.002839469301399,0.04974808537825126
3225,13.94853660284735,13.959418325727201,0.9992204744763759,-0.010881722879851452
3275,13.658945101006234,13.684995059069134,0.9980964583508829,-0.026049958062900558
3325,13.869600617417168,13.845493620304728,1.0017411439254926,0.024106997112440354
3375,11.322986897605729,11.281392770574806,1.0036869673697926,0.04159412703092258
3425,9.217117232799659,9.162621096003893,1.005947658014532,0.05449613679576615
3475,7.899242816530162,7.856658924207196,1.0054201019458489,0.04258389232296622
3525,6.661778326602293,6.623208579993893,1.0058234232158871,0.038569746608399846
3575,6.271093827810574,6.220034516174405,1.0082088469932757,0.051059311636169724
3625,6.157342061910866,6.12603319980856,1.0051107888385724,0.03130886210230521
3675,4.994131982923688,4.976454251867547,1.0035522744029057,0.0176777310561409
3725,4.394284656496948,4.366386279879706,1.0063893514748792,0.027898376617241816
3775,3.7595932177463713,3.7577117331567362,1.0005006995542083,0.0018814845896351073
3825,3.6918062434797787,3.6810499865368906,1.0029220621785164,0.010756256942888065
3875,3.083000286531599,3.0759915846742385,1.0022785178907123,0.0070087018573605775
3925,2.769623777070078,2.7599822139788204,1.003493342472435,0.00964156309125741
3975,2.5733182470168594,2.562192393197011,1.0043423178717528,0.01112585381984843
4025,2.088073952439281,2.088209349500981,0.9999351611648839,-0.00013539706170018206
4075,1.786610795442743,1.7902739020526084,0.9979538848185937,-0.003663106609865352
4125,1.535112057788506,1.5378740152910364,0.9982040417647555,-0.0027619575025303877
4175,1.3079589410578003,1.30787729110809,1.0000624293657099,8.164994971027184e-05
4225,1.2063410607314162,1.2016050885168084,1.0039413716368775,0.004735972214607864
4275,1.0794676810873638,1.0724909620184273,1.0065051541840562,0.006976719068936488
4325,1.0883748596024065,1.0876894125293228,1.0006301863980545,0.0006854470730837114
4375,0.9613040921640196,0.9602471421043978,1.0011007062799535,0.0010569500596218084
4425,0.7714933974774042,0.774243186316054,0.9964484171288175,-0.002749788838649847
4475,0.7065589700878409,0.7056955762324166,1.0012234650244425,0.0008633938554242215
4525,0.6282293695222011,0.6251850101723619,1.0048695334985716,0.003044359349839154
4575,0.5557969295121639,0.5526080316328777,1.0057706325220488,0.0031888978792861122
4625,0.5294353437810322,0.5277195976979572,1.0032512457194305,0.0017157460830750093
4675,0.4415820060418804,0.4399108706275187,1.0037988045441522,0.0016711354143617019
4725,0.35608731604587135,0.35601407816019315,1.000205716262842,7.323788567820122e-05
4775,0.2901576376933523,0.28958183598364445,1.001988390286124,0.000575801709707835
4825,0.25761876033339665,0.25682235524740776,1.0031009959597235,0.0007964050859888827
4875,0.24422044729651146,0.243991359296583,1.0009389184952653,0.0002290879999284623
4925,0.20365060818571476,0.20334586194227228,1.0014986596753515,0.000304746243442483
4975,0.1376084613517086,0.13733972351126197,1.0019567378874517,0.0002687378404466201
