ell,DlTT_c,DlTT,ratio,difference
25,389.98925308537997,385.17604380849855,1.0124961283398883,4.813209276881423
75,3280.7202738619108,3258.0271118758055,1.0069653079016399,22.693161986105224
125,4664.829020488383,4583.02501233267,1.0178493479602628,81.80400815571375
175,4963.329055674349,4783.4798992665355,1.0375979747370507,179.8491564078131
225,6288.528252760207,6243.309377741878,1.0072427733886677,45.21887501832862
275,4645.269513854336,4613.908255342503,1.0067971135913938,31.361258511832602
325,4146.181518610356,4082.825584479839,1.0155176685409617,63.355934130516744
375,2562.2095899987326,2566.3654983439533,0.9983806249157018,-4.155908345220723
425,2050.5499883164066,2054.364743890171,0.9981430972347486,-3.8147555737646144
475,2762.593084617749,2754.368192335304,1.0029861266570435,8.224892282445126
525,2792.6827013709917,2764.644145129124,1.0101418319212139,28.03855624186781
575,2369.4278679398562,2379.9029699716307,0.9955985171816062,-10.47510203177444
625,2095.6042021130356,2087.462803553226,1.003900140661645,8.141398559809659
675,2475.708193855181,2484.7879602616717,0.9963458586600948,-9.079766406490762
725,2222.076066511225,2221.6023727336537,1.0002132216743125,0.47369377757104303
775,2487.3366561897433,2476.1149624113946,1.004531976078938,11.221693778348708
825,2772.7707129685364,2779.8636856627622,0.9974484458605621,-7.092972694225864
875,2060.4473030653867,2052.4600274165687,1.0038915620972515,7.987275648818013
925,1846.5640008934804,1832.236790095142,1.007819519221418,14.327210798338456
975,1358.5783853435335,1337.323834214642,1.0158933465366475,21.254551128891535
1025,1015.7342716441933,1005.5323561198668,1.0101457854262328,10.201915524326523
1075,1173.9203621798974,1162.9381127537865,1.009443537283429,10.982249426110911
1125,1424.8869696938782,1410.2080345805919,1.01040905650325,14.678935113286343
1175,1276.5950848531684,1276.0106591021824,1.0004580100854308,0.584425750985929
1225,947.7190246930114,938.8353464020818,1.0094624454916135,8.883678290929652
1275,710.891165800423,708.0297435661499,1.0040413870466245,2.86142223427305
1325,720.6846105636996,714.4982195305241,1.0086583715173432,6.186391033175482
1375,817.4315608236875,812.4483428747079,1.006133581282654,4.983217948979586
1425,894.8696969942339,891.6542400569576,1.0036061701866308,3.215456937276258
1475,874.7001827955114,872.4543055755121,1.0025742061282141,2.245877219999329
1525,685.1376807216227,686.8965233081676,0.9974394358875568,-1.7588425865449153
1575,481.99344502577316,483.31219545791924,0.9972714315000957,-1.3187504321460892
1625,386.07084223436374,386.0374477382027,1.0000865058464061,0.03339449616106549
1675,409.0693339557263,411.4457762518846,0.9942241665042554,-2.3764422961583023
1725,406.86530253209315,408.80291521657676,0.9952602767437284,-1.9376126844836108
1775,359.4713572915706,359.6533006025694,0.9994941147191088,-0.181943310998804
1825,346.36916224305065,347.6594261261519,0.9962887130733712,-1.290263883101261
1875,279.3305178239962,278.9631678140168,1.0013168405451445,0.36735000997941825
1925,242.1447048028465,241.44336034949066,1.0029047990896938,0.70134445335583
1975,227.26374744090836,226.0736652396366,1.0052641345908657,1.190082201271764
2025,215.84726257810087,216.01322056877547,0.9992317229925205,-0.16595799067459893
2075,215.95900395034312,215.5748414589235,1.0017820376850088,0.3841624914196302
2125,200.27070395555788,200.0343044705048,1.0011817947210546,0.2363994850530844
2175,155.94564748651987,156.10792505064336,0.9989604783737223,-0.16227756412348526
2225,116.2986574693453,116.33265501470385,0.9997077557857315,-0.03399754535854527
2275,115.71417364170641,114.83438457401697,1.007661373124026,0.879789067689444
2325,115.18583318964019,114.52742109509893,1.0057489471800343,0.6584120945412621
2375,101.43329425238284,100.81385748446337,1.0061443613346006,0.619436767919467
2425,93.8381503886194,93.78437034496874,1.0005734435647735,0.05378004365066147
2475,83.95567848007639,83.5769689570887,1.0045312665404524,0.3787095229876911
2525,72.63347280297417,72.49883649609441,1.0018570823117556,0.1346363068797558
2575,62.92135931888757,63.14872634835151,0.996399499362668,-0.2273670294639416
2625,59.48014469959879,59.741465461918196,0.9956258059574051,-0.26132076231940715
2675,60.599031869288396,60.90773076171241,0.9949316960496899,-0.3086988924240117
2725,57.70084849161054,57.91979715978869,0.9962197956672031,-0.21894866817815029
2775,45.03175511395409,45.23139996880543,0.9955861446917623,-0.19964485485133565
2825,30.506592762289515,30.47533295534339,1.001025741277115,0.03125980694612451
2875,28.877223535128568,28.812292661387776,1.0022535823338976,0.0649308737407921
2925,30.71992134261044,30.721180141436932,0.9999590250497964,-0.0012587988264911587
2975,28.246090282193986,28.13282572195901,1.0040260641200565,0.11326456023497755
3025,25.6355405913733,25.604961600588485,1.0011942603649173,0.030578990784814408
3075,21.75014308122449,21.767499625586805,0.9992026395010517,-0.017356544362314708
3125,18.818999558920332,18.81693467367337,1.0001097354740702,0.002064885246962689
3175,16.174376041617542,16.194943015522313,0.9987300372786087,-0.02056697390477069
