ell,DlTT_c,DlTT,ratio,difference
25,256.86054933708346,250.54897126482652,1.025190995757814,6.3115780722569355
75,2275.444889996256,2334.5616510044947,0.9746775755599332,-59.11676100823888
125,4768.294036504545,4734.838307680604,1.007065865115113,33.45572882394117
175,8150.526044357272,8068.911021735503,1.0101147506028907,81.61502262176964
225,6231.375383411827,6143.469411877754,1.0143088482485345,87.9059715340727
275,5729.298851750975,5751.052436879622,0.996217460131445,-21.7535851286475
325,4229.998828697811,4189.195972534505,1.0097400208610008,40.80285616330639
375,2630.3560360201645,2627.8739215901383,1.0009445333010971,2.482114430026286
425,2101.1727615191626,2112.29682603696,0.9947336641419531,-11.124064517797251
475,2162.8032064016234,2130.552283692943,1.0151373533311179,32.250922708680264
525,2947.552165762824,2949.7598705853784,0.9992515645613838,-2.2077048225542057
575,2755.494883141285,2734.7120239819023,1.0075996518014068,20.782859159382497
625,1744.8104338807127,1731.0982335557655,1.0079210989065488,13.712200324947162
675,1651.8300549671135,1653.4311239920246,0.9990316687513142,-1.6010690249111121
725,2002.726769400788,2002.4915705007522,1.0001174531286425,0.23519890003581168
775,2152.9501974721256,2167.9170398206097,0.9930962107527314,-14.966842348484079
825,2552.754231334663,2548.864222994176,1.0015261732286067,3.8900083404869292
875,2425.96391279921,2418.5845074159315,1.0030511257145043,7.379405383278481
925,2108.141817493964,2097.1736154426485,1.0052299923909735,10.96820205131553
975,1161.2288590244593,1158.6311529400311,1.0022420475039329,2.5977060844281823
1025,1045.0237199890514,1045.0484363025146,0.9999763491216248,-0.024716313463159167
1075,1211.3440360306022,1205.4229719688674,1.0049120219204581,5.921064061734796
1125,1258.4342315616861,1244.8473863783684,1.0109144665699512,13.586845183317791
1175,1149.9310027810682,1144.9830338541287,1.0043214342751299,4.9479689269394385
1225,1050.5039114561139,1043.6900202226677,1.0065286541994456,6.8138912334461565
1275,824.4274871592945,823.3197778551362,1.001345418067138,1.107709304158334
1325,662.9513144057152,656.4515680066555,1.0099013342580572,6.499746399059632
1375,881.2935698437857,877.1728582443026,1.004697718996608,4.120711599483116
1425,950.3243837763698,945.3420036525553,1.0052704524971534,4.982380123814551
1475,856.0374098843961,851.9870573168415,1.0047540071562946,4.050352567554569
1525,605.7283687636149,603.5566845599558,1.0035981445640727,2.1716842036590833
1575,444.6861612128139,444.0942512556995,1.0013328476003478,0.5919099571144102
1625,382.49911003984846,380.5322787485219,1.0051686319431166,1.9668312913265709
1675,414.31816130416786,414.0908932476396,1.0005488361619013,0.22726805652825988
1725,381.81565914936334,380.61296323368987,1.0031598921525304,1.2026959156734733
1775,382.0247281387976,380.8481458100812,1.003089373918872,1.1765823287164494
1825,334.984609345012,334.1199778313993,1.00258778753436,0.8646315136127214
1875,282.60045459819844,281.2539452213309,1.0047875217387898,1.346509376867516
1925,252.36027442369848,251.44074503974602,1.0036570420748916,0.9195293839524652
1975,232.4282522396459,232.47626793425349,0.9997934598011476,-0.048015694607585147
2025,252.23848360119422,251.16767716387642,1.004263313056079,1.070806437317799
2075,226.06340382557138,226.4059552326925,0.9984870035473712,-0.3425514071211069
2125,203.48896409934113,203.77494022361728,0.9985966079834826,-0.2859761242761465
2175,175.51687050571786,175.73856690320062,0.9987384875079534,-0.22169639748275927
2225,125.25650459329444,123.85330026314242,1.0113295675381337,1.4032043301520218
2275,113.36494947853998,112.11089594024473,1.011185831027197,1.2540535382952527
2325,119.853182428695,119.07851235099909,1.006505540440516,0.7746700776959159
2375,110.26523477339663,109.46632525195093,1.0072982218011513,0.7989095214456938
2425,91.49755870561529,91.24279481504222,1.0027921535184177,0.2547638905730736
2475,79.3977643678365,78.98701851307429,1.0052001691226542,0.4107458547622116
2525,69.16022982009135,69.02183804261836,1.0020050433514613,0.13839177747298947
2575,61.02626100840618,61.01456304514861,1.0001917241175506,0.011697963257567778
2625,57.27977307580505,57.06834550933286,1.0037048133178772,0.21142756647219585
2675,61.412439300568266,61.07268955126392,1.005563038926248,0.339749749304346
2725,55.90355118609253,55.625564729783385,1.0049974585904797,0.27798645630914365
2775,43.401479251863165,43.31602155412783,1.001972888891205,0.08545769773533607
2825,37.04879621236011,36.87894820145702,1.0046055546371677,0.1698480109030882
2875,30.980854066278997,30.696768641751564,1.0092545709889815,0.2840854245274329
2925,28.86665289570598,28.792228218475184,1.0025848877226888,0.0744246772307946
2975,25.414206559858883,25.36633606214879,1.0018871664237519,0.04787049771009322
3025,24.27025148919224,24.30027851049683,0.9987643342733039,-0.030027021304590562
3075,20.09345443453828,20.035283868731323,1.0029034061203268,0.05817056580695734
3125,16.63975898904465,16.660124660254922,0.9987775799025768,-0.02036567121027133
3175,14.803600683594462,14.783199722601818,1.0013800098338288,0.0204009609926441
3225,14.429219109724631,14.433542530368053,0.9997004601861029,-0.004323420643421727
3275,13.272711214951338,13.259857191112502,1.0009693938368696,0.012854023838835715
3325,12.123253178779688,12.110235513414192,1.0010749308179083,0.013017665365495645
3375,10.95661417885317,10.972151622238643,0.9985839200987725,-0.015537443385472471
3425,9.20392116653051,9.165810759176301,1.004157887213202,0.038110407354208675
3475,7.0862696665175955,7.08542646614793,1.0001190048861128,0.0008432003696654533
3525,6.389887677830243,6.373742599613725,1.002533060907966,0.01614507821651845
3575,5.840297752751149,5.851149483028398,0.9981453677933327,-0.010851730277249061
3625,5.532478927250694,5.535739977827525,0.9994109097266323,-0.003261050576830904
3675,5.278488317734748,5.284306506407741,0.9988989683573545,-0.0058181886729924415
3725,4.421163736596055,4.419393423200501,1.0004005783658592,0.0017703133955544459
3775,3.9293383507160247,3.918722704139019,1.0027089557946505,0.010615646577005755
3825,3.465554088874945,3.4806363990960936,0.9956667952374844,-0.015082310221148365
3875,3.4573659680118527,3.4481990405275265,1.0026584681964659,0.009166927484326237
3925,2.955415602629963,2.9573500308594545,0.9993458913522898,-0.0019344282294913029
3975,2.587739483917918,2.5826630602500127,1.0019655772160283,0.005076423667905505
4025,2.2573342947126895,2.250577324402274,1.003002327552647,0.006756970310415333
4075,1.792153393414818,1.793514553146769,0.9992410656888382,-0.001361159731951167
4125,1.5966246740047207,1.593947771561387,1.0016794166603786,0.0026769024433337396
4175,1.3646386666242987,1.362864083450778,1.001302098422777,0.0017745831735207496
4225,1.1859141583955997,1.1832576473428484,1.0022450825132774,0.0026565110527512203
