ell,mean,stdev,error
25,-1.31680320830511,11.552801332371274,1.1552801332371274
75,0.9981587971007729,32.91015341950732,3.2910153419507315
125,6.154530973151636,59.30955596708843,5.930955596708843
175,3.7762380823438706,75.1319292915617,7.513192929156171
225,14.167418417576819,71.99399327905955,7.199399327905955
275,11.357281584079315,64.6179567929158,6.461795679291581
325,9.276408404599692,38.68564717692612,3.8685647176926117
375,5.616144249524089,29.835509660172768,2.983550966017277
425,7.574468128957774,18.99313763323315,1.899313763323315
475,7.2885510116365095,20.055646360789577,2.0055646360789576
525,5.26231707842167,17.53901468796841,1.753901468796841
575,2.5249078470575843,16.457217699950167,1.6457217699950166
625,0.016722733149656523,16.252567700058762,1.6252567700058762
675,1.2968154803868515,12.443216329463409,1.244321632946341
725,3.7118911199686635,12.787417065175013,1.2787417065175013
775,5.792269699959136,14.291512640577963,1.4291512640577964
825,4.706243241825909,14.188633504048738,1.4188633504048738
875,4.2944908292439665,11.951607330372832,1.1951607330372833
925,2.7176416155200855,10.973046280659691,1.097304628065969
975,2.4750405031841023,7.732945496868476,0.7732945496868476
1025,2.8765136141042773,6.607238614949752,0.6607238614949752
1075,0.9806547994122036,6.448357468387925,0.6448357468387924
1125,2.3632253089074027,6.201906303816389,0.6201906303816389
1175,2.322126078437823,5.523876230200847,0.5523876230200847
1225,2.332410191173793,4.8468345768880825,0.4846834576888083
1275,2.643675969373472,4.329058123420373,0.43290581234203734
1325,1.6154416842511534,3.9805615996482686,0.39805615996482685
1375,1.4312836795447776,3.2910700813837686,0.32910700813837684
1425,1.24199761787154,3.0454809152951383,0.30454809152951384
1475,1.3037329077141329,3.2244003968899704,0.32244003968899704
1525,1.8666326632464745,2.8799030118689104,0.28799030118689106
1575,1.135986039747804,1.974566459606648,0.19745664596066478
1625,0.9197794005528618,1.87872501852868,0.187872501852868
1675,0.5749808305413427,1.7117424915173434,0.17117424915173435
1725,0.2851401914214051,1.4780214178331117,0.14780214178331116
1775,0.3948258890555752,1.5533527230671997,0.15533527230671998
1825,0.4370281364207466,1.3490310643390133,0.13490310643390133
1875,0.285446552005715,1.1603887957465104,0.11603887957465105
1925,0.5261368140033451,0.9748415281328664,0.09748415281328664
1975,0.37873413624448915,0.9447957616279459,0.09447957616279459
2025,0.4007865904483754,0.8315028477159087,0.08315028477159087
2075,0.3201218812984322,0.8478085527262449,0.0847808552726245
2125,0.3091395650569703,0.7407061080127337,0.07407061080127338
2175,0.2968807253274346,0.6595992318652869,0.06595992318652869
2225,0.3151550052061646,0.4703228418230449,0.04703228418230449
2275,0.1901263727301773,0.4221540135823749,0.042215401358237495
2325,0.14613758420012687,0.3781794008183181,0.037817940081831806
2375,0.1947641991283345,0.34218572368925043,0.034218572368925046
2425,0.13818584543558074,0.34079152351211045,0.03407915235121105
2475,0.16974967228402021,0.3070222029758402,0.030702220297584022
2525,0.16118511354265877,0.23131505452574466,0.023131505452574468
2575,0.11789294217468146,0.20468822614953502,0.020468822614953502
2625,0.10322666711066353,0.20600406123429094,0.020600406123429095
2675,0.10244837361700383,0.170535209611206,0.0170535209611206
2725,0.09936814323367286,0.1905942013790336,0.01905942013790336
2775,0.07109694229233696,0.16838918250522056,0.016838918250522056
2825,0.06633989012479191,0.11763112701964075,0.011763112701964075
2875,0.0499377292990199,0.10276660685719126,0.010276660685719126
2925,0.0379756985621816,0.09621291432871021,0.00962129143287102
2975,0.02368014861584271,0.07474940589636335,0.007474940589636335
3025,0.02263252362543419,0.07567386321753693,0.007567386321753693
3075,0.0335448804263872,0.06063451271295073,0.006063451271295072
3125,0.033045919140980075,0.05418892375416635,0.005418892375416635
3175,0.03410701056923291,0.05253351864658874,0.005253351864658874
3225,0.024758245297106775,0.03957789170765312,0.003957789170765312
3275,0.023017865009874697,0.03959030257511179,0.00395903025751118
3325,0.019931142947064096,0.03330568373323294,0.003330568373323294
3375,0.01359587783646559,0.02891863704529455,0.002891863704529455
3425,0.011577342902090875,0.02734115843517587,0.002734115843517587
3475,0.012166432294838611,0.022750279599271228,0.002275027959927123
3525,0.014420350707031116,0.020138734710707356,0.0020138734710707356
3575,0.011673854695829882,0.018674581822760387,0.0018674581822760387
3625,0.010374875198423483,0.016887809213859722,0.0016887809213859723
3675,0.008461392311859094,0.01352924927495802,0.001352924927495802
3725,0.007466244879639515,0.012241608196289803,0.0012241608196289803
3775,0.006655583148985993,0.010195428882690632,0.0010195428882690631
3825,0.005787849140924622,0.008698050055650244,0.0008698050055650243
3875,0.006505064386314435,0.007658763981918871,0.0007658763981918871
3925,0.005396071074982245,0.007938119856884404,0.0007938119856884404
3975,0.004688232505954256,0.0071484367948241746,0.0007148436794824174
4025,0.0033428045876780395,0.006244398969340756,0.0006244398969340756
4075,0.003222760873769447,0.0046733626729207065,0.00046733626729207064
4125,0.0025568259729212,0.004313661656379665,0.0004313661656379665
4175,0.002111280956337731,0.003451272864456306,0.0003451272864456306
4225,0.0014801239004309608,0.003487126881619205,0.0003487126881619205
4275,0.0016327186805324126,0.0031878951711040234,0.00031878951711040234
4325,0.001806516964094696,0.0025108747125167316,0.00025108747125167315
4375,0.0016292936679833826,0.002385396035404287,0.0002385396035404287
4425,0.0012913290725212775,0.00206159694262825,0.000206159694262825
4475,0.0012555366764335529,0.0018124564548716725,0.00018124564548716726
4525,0.0008293549679473493,0.001570143299697544,0.0001570143299697544
4575,0.0008827255404840414,0.001425726552511367,0.0001425726552511367
4625,0.0007968191380994255,0.0011061895486757052,0.00011061895486757051
4675,0.000580416601294311,0.0009240806514280256,9.240806514280257e-05
4725,0.0005927691019875492,0.000760998339832091,7.60998339832091e-05
4775,0.0005028071485512582,0.0007237754839563554,7.237754839563554e-05
4825,0.0003751032225985678,0.0006619187530981009,6.619187530981008e-05
4875,0.00036990504035969043,0.000518631161578616,5.1863116157861604e-05
4925,0.0003479070737671222,0.0004696303307222835,4.696303307222835e-05
4975,0.00018711474023371544,0.0003266423952639733,3.266423952639733e-05
