ell,DlTT_c,DlTT,ratio,difference
25,161.8822879136146,159.64256049964737,1.0140296385059056,2.2397274139672163
75,2819.1392461160553,2747.3936160598523,1.0261140703089702,71.74563005620303
125,4222.839775719481,4135.253274214799,1.0211804442670596,87.58650150468202
175,3424.513997453711,3386.6772886494928,1.0111722214959862,37.83670880421823
225,4405.304064777873,4338.571825243926,1.0153811535735484,66.732239533947
275,4450.513943397485,4284.4099328793145,1.0387694018827327,166.10401051817007
325,3466.3404867683143,3429.6196360831595,1.0107069747032043,36.7208506851548
375,2154.214741788709,2169.783660249995,0.9928246678475345,-15.568918461286103
425,1712.5017543963036,1693.6163151951243,1.011150954931019,18.885439201179224
475,2552.6079894585155,2526.3772118352886,1.010382763706205,26.230777623226913
525,2067.451032069123,2017.4600804848603,1.0247791527910917,49.990951584262575
575,1576.95878806794,1559.7153886879287,1.0110554781372754,17.243399380011397
625,2147.0981291730914,2133.35471108748,1.0064421626718631,13.74341808561121
675,1942.028533484326,1939.9763903011194,1.0010578186381371,2.052143183206681
725,2005.4891604122756,1968.2759409606979,1.018906505270503,37.21321945157774
775,2237.068829917056,2260.134892970815,0.9897943865538751,-23.06606305375908
825,2391.910499410307,2419.7644478661723,0.9884889835122472,-27.85394845586552
875,2200.027744695191,2198.885161264363,1.000519619419402,1.1425834308279263
925,2027.7336471137971,2002.8730621449474,1.012412461597654,24.860584968849707
975,1247.8359248661225,1231.1470267394222,1.0135555687210642,16.688898126700224
1025,1157.578774506785,1152.8011157611068,1.0041443911533032,4.777658745678309
1075,1206.746958532713,1189.2641783582762,1.0147005017830193,17.48278017443681
1125,1232.4950414332363,1228.1972546329205,1.003499264294969,4.297786800315862
1175,1382.916273841685,1363.4410918462747,1.014283845566836,19.475181995410367
1225,1065.1796086695683,1049.4001582115338,1.0150366381542453,15.77945045803449
1275,749.1867129663265,746.0105877183549,1.0042574801219453,3.1761252479715267
1325,715.9935826950872,698.843722918879,1.0245403360061358,17.14985977620813
1375,717.8288554206475,702.9537380747199,1.0211608766555083,14.875117345927606
1425,875.7068739294695,871.6652783538057,1.0046366371083366,4.041595575663791
1475,795.4831599011243,792.25487510657,1.00407480584341,3.22828479455427
1525,599.1623901473656,595.2292258756883,1.0066078144363475,3.933164271677356
1575,459.2258874542992,457.5553504044424,1.003651005388485,1.6705370498568186
1625,429.3578452092415,428.98300061867485,1.0008737982391518,0.37484459056662445
1675,359.19013980584293,355.29469294859047,1.010963988302004,3.895446857252466
1725,380.26854362046333,379.6962777743935,1.0015071673850062,0.572265846069854
