ell,DlTT_c,DlTT,ratio,difference
25,653.2164245330268,648.9004040376687,1.0066512834149932,4.316020495358089
75,2281.1768494373764,2289.544712598309,0.9963451846496431,-8.367863160932757
125,2517.2481203789926,2530.079817001949,0.9949283431547383,-12.831696622956315
175,4222.410738912918,4210.298879331367,1.0028767220400927,12.111859581550561
225,4475.4170815050975,4503.730763247478,0.9937132827802602,-28.31368174238014
275,3770.634319550103,3797.0611803089105,0.9930401804174623,-26.42686075880738
325,3619.0637410292366,3625.509657003864,0.99822206625152,-6.445915974627496
375,1990.2252656611026,1946.8555034364629,1.0222768264763802,43.36976222463977
425,1936.1325739675858,1960.8211222574378,0.9874090767334102,-24.68854828985195
475,2301.6578080896047,2273.9681675349993,1.012176793391361,27.689640554605376
525,1837.8962703801772,1801.0863952674958,1.0204375954476155,36.80987511268131
575,2155.8450110353724,2186.0931428592417,0.9861633837868834,-30.248131823869244
625,2198.1057592515735,2160.072948693203,1.0176071880263948,38.03281055837033
675,2073.6609036479413,2002.184023582026,1.0356994558062844,71.47688006591534
725,2105.9336374106024,2118.2282369346594,0.9941958098236624,-12.294599524057048
775,2368.4956942656886,2352.097780587137,1.006971612240737,16.397913678551504
825,2909.0525708154455,2866.0183624197957,1.0150153289176123,43.034208395649785
875,2370.99595434635,2334.186799585004,1.0157695839801213,36.809154761346235
925,1707.1749492879073,1692.1430281002604,1.0088833632488639,15.031921187646958
975,1223.4573549926633,1197.3122933027723,1.0218364597408167,26.14506168989101
1025,1188.3756235412015,1148.2119430513624,1.0349793265371414,40.16368048983918
1075,1223.1405070251103,1202.1055208441426,1.0174984523539967,21.034986180967735
1125,1215.5595183541814,1208.7020072095104,1.0056734506137726,6.85751114467098
1175,1220.074061246506,1219.3975008749667,1.0005548316861843,0.6765603715393809
1225,1033.0140109006854,1021.6406455173249,1.011132451937248,11.373365383360579
1275,849.7191622938168,851.8045385215961,0.9975518136691327,-2.0853762277793066
1325,851.3465238016718,867.2944698655185,0.9816118439377117,-15.947946063846757
1375,853.2123665518109,859.0503462660065,0.9932041471846542,-5.837979714195626
1425,819.0660329889574,817.3344131359167,1.0021186185546707,1.7316198530406837
1475,830.2717548600937,829.6469742011845,1.00075306808599,0.6247806589091169
1525,638.9339997429402,624.5188801546799,1.0230819596433818,14.415119588260268
1575,468.3696108099201,464.96469793093905,1.0073229492349263,3.404912878981065
1625,417.98243160543336,417.5285704534754,1.0010870181924676,0.45386115195793764
1675,416.15709041523974,415.0007218781086,1.0027864253630643,1.1563685371311294
1725,416.7364492053287,416.3327023274978,1.00096976979126,0.4037468778308835
1775,368.9957902714142,368.6903918373728,1.000828333042582,0.30539843404142175
1825,320.46912152350814,312.72824496729504,1.0247527259874547,7.740876556213095
1875,280.9366305257191,275.9547447061007,1.0180532711076384,4.981885819618412
1925,220.82397388832513,218.92318691172443,1.0086824379062558,1.900786976600699
1975,223.2882011709611,218.72434878199792,1.020865771983676,4.56385238896317
2025,244.12606924333525,239.8991407008631,1.017619606848625,4.226928542472166
2075,220.1648510797935,217.93691998419968,1.0102228254659895,2.227931095593817
2125,169.4631898545405,167.24602627551903,1.0132568984052808,2.2171635790214737
2175,156.5026545809945,154.75669425781334,1.011281969620471,1.7459603231811514
2225,110.86402877401738,108.3001078755007,1.0236742229422717,2.5639208985166846
2275,94.92205180207122,93.97771179208861,1.0100485529172258,0.9443400099826107
2325,115.60118310302255,112.19280299739361,1.0303796679873318,3.408380105628936
2375,118.51147812750155,116.18750916347626,1.0200018829972115,2.3239689640252834
2425,100.99732871134837,99.7070017874544,1.0129411866846079,1.2903269238939714
2475,81.93046995519853,80.39176828269763,1.0191400401480168,1.5387016725009062
2525,67.9460290522645,67.2426030121207,1.0104610174001891,0.7034260401438104
2575,65.56906581021819,63.95644950067408,1.0252142875680914,1.6126163095441086
2625,63.73298828826634,62.69866463601083,1.0164967413303,1.0343236522555088
2675,56.17884712573718,54.37373115845159,1.0331983097136606,1.8051159672855874
2725,50.38105550683562,49.70698232860354,1.0135609354391284,0.674073178232085
2775,45.264574786578855,43.809014832275636,1.033225124095483,1.4555599543032187
2825,37.426493024808856,35.932726085783244,1.0415712110308442,1.4937669390256119
2875,31.114527130229302,28.97294756856513,1.0739165235637858,2.141579561664173
2925,30.15630154759239,29.400867016688803,1.025694294337469,0.7554345309035853
2975,28.20308763175221,26.78516249993632,1.0529369620893383,1.4179251318158919
3025,26.926754464297566,25.752886949957546,1.0455819775321133,1.1738675143400208
3075,23.0713682829657,22.401744957548125,1.029891569906118,0.6696233254175752
3125,18.97076232244263,17.127729295416803,1.1076052169693624,1.8430330270258288
3175,16.31106832813412,15.565230192774903,1.0479169357678642,0.7458381353592163
3225,15.546216597496247,14.952102045759696,1.0397345169206518,0.5941145517365509
3275,13.898029709903208,13.085009189218837,1.0621337370824504,0.8130205206843701
3325,13.586000179685804,12.306487258633897,1.1039706046219027,1.2795129210519072
3375,12.509724365614453,11.075203939158389,1.129525418614104,1.4345204264560643
3425,11.242669613949106,9.634130834683162,1.1669625217746842,1.6085387792659436
3475,8.624206903885256,7.580659974170603,1.1376591132263292,1.043546929714653
3525,6.638542108864646,5.930731724263859,1.1193462151904439,0.707810384600787
3575,6.303731727213443,5.789968718959141,1.0887332960145355,0.5137630082543021
3625,6.537305263024943,5.714538269900848,1.1439778603737256,0.8227669931240955
3675,6.626388666018981,5.025057776808373,1.3186691497560614,1.6013308892106082
3725,5.340937032605377,4.527836302922455,1.1795782080633332,0.8131007296829225
